"","ID","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","day","ara1","ara_name","ara_id","kt","NUTS2_name","n","date","period"
"10179",196,-0.0139770484026375,0.353876640106231,-0.707829154013376,-0.0140428862144722,0.680254192745337,-0.0141671296236702,3.60163970498634e-11,196,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-22,"2"
"10180",197,0.0160800120196618,0.356345652379044,-0.68261382968945,0.0160138779424143,0.715154359692814,0.0158887076480678,3.60690168151657e-11,197,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-23,"2"
"10181",198,0.0460194290626085,0.350976067492696,-0.642130982840404,0.0459490812023377,0.734574545363503,0.0458159252981734,3.65085633110866e-11,198,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-24,"2"
"10182",199,0.0350234212944115,0.361660191877196,-0.674111994170171,0.0349637977945404,0.744502174655208,0.034851245571987,3.55955896967686e-11,199,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-25,"2"
"10183",200,0.0239098110679024,0.365189172377849,-0.692168280117441,0.0238577659818084,0.740288273297379,0.0237602325646283,3.50177000052549e-11,200,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-26,"2"
"10184",201,0.0126785835664468,0.36177259318018,-0.696707321745334,0.0126297874742868,0.722346925800356,0.0125392345200178,3.48220770515195e-11,201,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-27,"2"
"10185",202,0.0227373224403254,0.36528304284477,-0.693544733021984,0.0226924512726771,0.739279388080735,0.0226094843297969,3.4607556373026e-11,202,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-28,"2"
"10186",203,0.0326775970157849,0.361859382093652,-0.676886534996238,0.0326317355689796,0.742507674627053,0.0325471587287959,3.47111318675952e-11,203,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-29,"2"
"10187",204,0.0618686263062931,0.365815647403638,-0.655459074199999,0.0618241366501835,0.779454156613947,0.061741903299198,3.46140090945822e-11,204,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-30,"2"
"10188",205,0.0909421515790149,0.362894344697939,-0.620645844264097,0.0908940855208579,0.80280839671542,0.0908049186060203,3.48388856830156e-11,205,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-08-31,"2"
"10189",206,0.146907696541244,0.366051477971109,-0.570862504755738,0.14685585665309,0.864977004767144,0.146758622125328,3.49028763654618e-11,206,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-09-01,"2"
"10190",207,0.202755964419369,0.362360299136263,-0.507752044791413,0.202695944789254,0.913609385486672,0.202582430864294,3.53944730821549e-11,207,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-09-02,"2"
"10191",208,0.258487088902839,0.351605026942579,-0.430895600642992,0.258415995507168,0.948278463824811,0.258281113214403,3.62587532244957e-11,208,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-09-03,"2"
"10192",209,0.293018448295537,0.353590682121216,-0.400253345443967,0.292945243191366,0.98671055440267,0.292805795191683,3.6297319633236e-11,209,96,"St.Gallen (Au)","320302","SG","Eastern",138,2022-09-04,"2"
"10193",98,0.458703023198883,0.374364271911695,-0.275740193113677,0.458778271779319,1.1927113346014,0.458918466478935,3.50258164884078e-11,98,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-16,"2"
"10194",99,0.417967972807405,0.3727966055252,-0.313416529675405,0.418049002684243,1.14888485057264,0.418200715868898,3.5885470888956e-11,99,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-17,"2"
"10195",100,0.403578670491299,0.376933622531669,-0.335911305714137,0.403656732129726,1.14261828058882,0.403803060032394,3.54747531996289e-11,100,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-18,"2"
"10196",101,0.389351974216515,0.374380580970651,-0.345137985731831,0.389432529303174,1.12337716670771,0.389583509945857,3.57416306883989e-11,101,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-19,"2"
"10197",102,0.404331411041845,0.377359235116548,-0.335981212443671,0.404404848703616,1.14421967783731,0.40454180903402,3.4580139564426e-11,102,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-20,"2"
"10198",103,0.419473451977055,0.373707236260675,-0.313673710125219,0.419545534860839,1.15220332006268,0.419679133411868,3.40907276544475e-11,103,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-21,"2"
"10199",104,0.434778105383781,0.363224533738339,-0.27783005149292,0.434856916962703,1.14692945774545,0.435002326178295,3.43532045694638e-11,104,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-22,"2"
"10200",105,0.406843039677784,0.36916518233081,-0.317403449944761,0.406917441898594,1.13065856520624,0.407055049927661,3.39539641193972e-11,105,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-23,"2"
"10201",106,0.379070549198594,0.367749888384436,-0.342410905198794,0.379148770424535,1.10009943487227,0.379293980993504,3.44050499374351e-11,106,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-24,"2"
"10202",107,0.395256945460768,0.367980666285473,-0.326658817459971,0.395328566869403,1.11675736057128,0.395460467625108,3.35086021874868e-11,107,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-25,"2"
"10203",108,0.411605878672203,0.360771646973009,-0.296177577219138,0.411679560514877,1.11896129370155,0.41181438328007,3.34594199207477e-11,108,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-26,"2"
"10204",109,0.381174859001645,0.37000474098648,-0.344694819070385,0.381240933069148,1.106660785058,0.381361991956214,3.29920284364132e-11,109,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-27,"2"
"10205",110,0.350906340180899,0.372100414680321,-0.379075569690888,0.350973294353831,1.0804998886092,0.35109652115072,3.32544544074799e-11,110,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-28,"2"
"10206",111,0.320800260460191,0.367180947721865,-0.399555221484535,0.320875074556859,1.04072246528266,0.321013468785042,3.42043643397718e-11,111,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-29,"2"
"10207",112,0.305351761937386,0.369445932718011,-0.419438482516411,0.30542400548932,1.02972358460266,0.305557615730814,3.39928867702899e-11,112,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-30,"2"
"10208",113,0.290248656671843,0.364462068962277,-0.424780032416378,0.29032554103634,1.00483211230876,0.290467765574315,3.45271893343016e-11,113,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-05-31,"2"
"10209",114,0.276426033503052,0.368598060502826,-0.446701801085085,0.27649858426905,0.99913368155183,0.27663275941012,3.41803203553814e-11,114,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-01,"2"
"10210",115,0.262765638289089,0.365425348715351,-0.454147992576261,0.262841197192889,0.979241713646413,0.262980967421865,3.46056338814039e-11,115,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-02,"2"
"10211",116,0.2401869008952,0.373638152750132,-0.492819334080204,0.240257334743349,0.972785593923134,0.240388045628515,3.41894507742416e-11,116,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-03,"2"
"10212",117,0.217770303368886,0.375114589935508,-0.518135471921747,0.217842157596983,0.953260727385144,0.217975965724171,3.44010113601521e-11,117,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-04,"2"
"10213",118,0.195515796530538,0.36993536162067,-0.530252132419749,0.19559474272583,0.920827724107436,0.19574211113515,3.52471254342067e-11,118,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-05,"2"
"10214",119,0.192985271010319,0.371831715015195,-0.536494833115703,0.193061577856389,0.922024485154786,0.193203889917906,3.47661954838866e-11,119,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-06,"2"
"10215",120,0.19061675944429,0.366793414677698,-0.528992613312584,0.190696659323731,0.909764283250424,0.190845429670053,3.49872607162837e-11,120,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-07,"2"
"10216",121,0.215129949067974,0.366879108968405,-0.504630972943979,0.215203726135778,0.934463456555631,0.215340058435579,3.39469945057259e-11,121,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-08,"2"
"10217",122,0.239805183935636,0.359594344478744,-0.46567565490839,0.239881132993475,0.94484520068763,0.240020533368027,3.37422179472974e-11,122,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-09,"2"
"10218",123,0.221306845653307,0.368591771739097,-0.5017942786895,0.221373797268384,0.944019232534142,0.221496583281556,3.30035127627985e-11,123,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-10,"2"
"10219",124,0.202970570612314,0.370467401412535,-0.5238069054539,0.203036775517926,0.929363839656012,0.203158407156974,3.29809069077918e-11,124,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-11,"2"
"10220",125,0.184796323686713,0.365330972012766,-0.531925516552778,0.184868969951834,0.901097001169251,0.185002858858889,3.36217726679945e-11,125,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-12,"2"
"10221",126,0.186837109379638,0.366425224700914,-0.53201856991681,0.186905317601189,0.905296813922232,0.187030433119781,3.30223717726451e-11,126,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-13,"2"
"10222",127,0.189039864292669,0.360141128062633,-0.517502112531138,0.189111793508733,0.895163991886145,0.189243382412657,3.31702985073732e-11,127,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-14,"2"
"10223",128,0.185720743633038,0.363719522614384,-0.527820778028516,0.185786098068209,0.898882027846832,0.185905035976306,3.24888027362012e-11,128,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-15,"2"
"10224",129,0.182563577754309,0.359640841106411,-0.522985513876359,0.182631298420083,0.88771851090493,0.182754336075399,3.26008136023461e-11,129,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-16,"2"
"10225",130,0.165184809865041,0.366920776060136,-0.554618900617715,0.165244422117871,0.884641145810979,0.165352323187698,3.19880348570926e-11,130,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-17,"2"
"10226",131,0.147967949329569,0.366940102361371,-0.571874239128753,0.148027779938137,0.867461559323992,0.148136150488224,3.20269958840835e-11,131,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-18,"2"
"10227",132,0.130912950627207,0.359699986918908,-0.574753455413876,0.130981188287578,0.836182372356297,0.131105363920885,3.27216589086285e-11,132,97,"St.Gallen (Hofen)","320401","SG","Eastern",138,2022-06-19,"2"
